"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","num_cer","prediction(num_cer)"
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,1.0,18.0,3.0,2020.0,1.0,1.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",2.0,9.0,20.0,7.0,2017.0,5.0,3.9054726368159205
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,4.0,14.0,3.0,2018.0,4.0,4.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,6.0,19.0,6.0,2018.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",2.0,4.0,26.0,2.0,2018.0,1.0,1.981012658227848
"tecnología: hardware y software (incluye tic)","actividades administrativas y de apoyo de oficina y otras actividades de apoyo a las empresas","habilitado","riobamba","chimborazo",1.0,3.0,7.0,12.0,2017.0,3.0,3.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,2.0,15.0,3.0,2018.0,2.0,2.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,3.0,27.0,2.0,2018.0,3.0,3.0
"turismo y alimentación","actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas","habilitado","riobamba","chimborazo",1.0,4.0,20.0,6.0,2018.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,13.0,10.0,3.0,2017.0,13.0,13.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,3.0,19.0,9.0,2017.0,3.0,3.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,4.0,28.0,11.0,2017.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,5.0,26.0,4.0,2017.0,5.0,5.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,6.0,14.0,2.0,2017.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,4.0,11.0,9.0,2017.0,4.0,4.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,6.0,16.0,2.0,2017.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,2.0,31.0,1.0,2017.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,2.0,8.0,2.0,2017.0,2.0,2.0
"actividades de enseñanza","enseñanza","habilitado","riobamba","chimborazo",1.0,4.0,7.0,6.0,2017.0,4.0,4.0
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",1.0,1.0,3.0,6.0,2021.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",1.0,1.0,1.0,6.0,2021.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",2.0,3.0,20.0,9.0,2021.0,1.0,1.4796380090497738
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",1.0,2.0,7.0,6.0,2021.0,2.0,2.0
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",1.0,1.0,11.0,6.0,2021.0,1.0,1.0
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",3.0,4.0,30.0,9.0,2021.0,1.0,1.3373493975903614
"servicios financieros","actividades jurídicas y de contabilidad","suspendido","sin cantón","sin provincia",1.0,2.0,29.0,6.0,2021.0,2.0,2.0
