id_fact_oc_cp,id_razon_social,id_curso_perfil,id_fecha,num_cap_cer,total_horas,total_ganancias,porcentaje_asistencia
1393,613,4479,7,8.0,120.0,667.1999999999999,4.761904761904762
1394,613,4480,7,8.0,120.0,667.1999999999999,4.761904761904762
1395,613,4457,7,1.0,8.0,55.006984126984094,0.5952380952380952
1396,613,4458,7,1.0,8.0,90.16,0.5952380952380952
1397,613,4471,7,1.0,8.0,29.68,0.5952380952380952
1398,613,4472,7,1.0,8.0,55.04,0.5952380952380952
1399,613,4313,7,392.0,15680.0,107813.68888888882,233.33333333333334
1400,613,4314,7,392.0,15680.0,58800.0,233.33333333333334
1401,613,4379,7,392.0,15680.0,107813.68888888882,233.33333333333334
1402,613,4380,7,392.0,15680.0,63817.600000000006,233.33333333333334
1403,613,4277,7,35.0,560.0,1747.2,20.833333333333336
1404,613,4278,7,35.0,560.0,1747.2,20.833333333333336
1405,613,4339,7,17.0,170.0,1776.5,10.119047619047619
1406,613,4340,7,17.0,170.0,7879.5,10.119047619047619
1407,613,4417,7,17.0,170.0,2808.3999999999996,10.119047619047619
1408,613,4418,7,17.0,170.0,129.2,10.119047619047619
1409,613,4461,7,4.0,32.0,417.92,2.380952380952381
1410,613,4462,7,4.0,32.0,1854.08,2.380952380952381
1411,613,4299,7,278.0,2224.0,15291.941587301579,165.47619047619045
1412,613,4300,7,278.0,2224.0,66.72,165.47619047619045
1413,613,4365,7,278.0,2224.0,6494.08,165.47619047619045
1414,613,4366,7,278.0,2224.0,16680.0,165.47619047619045
1415,613,4207,7,297.0,2376.0,157029.84,176.78571428571428
1416,613,4208,7,297.0,2376.0,226005.12000000002,176.78571428571428
1417,613,4281,7,297.0,2376.0,31030.56,176.78571428571428
1418,613,4282,7,297.0,2376.0,137665.44,176.78571428571428
1419,613,4261,7,178.0,1424.0,9791.243174603169,105.95238095238095
1420,613,4262,7,178.0,1424.0,56.96,105.95238095238095
1421,613,4355,7,178.0,1424.0,4158.08,105.95238095238095
1422,613,4356,7,178.0,1424.0,10680.0,105.95238095238095
1423,613,4209,7,179.0,1432.0,94640.88,106.54761904761905
1424,613,4210,7,179.0,1432.0,136211.84,106.54761904761905
1425,613,4283,7,179.0,1432.0,18701.920000000002,106.54761904761905
