id_oec,id_perfil,id_fecha,num_cer,total_horas,total_cursos,volumen_capacitados,total_ganacias,%_asistencia
489.0,596.0,627,4,24.0,1,4,250.0,
489.0,596.0,628,7,42.0,1,7,250.0,
489.0,596.0,629,5,30.0,1,5,250.0,
489.0,596.0,630,1,6.0,1,1,250.0,
489.0,596.0,631,3,18.0,1,3,250.0,
489.0,596.0,632,2,12.0,1,2,250.0,
489.0,,633,1,,1,1,,
19.0,393.0,394,1,6.0,1,1,250.0,
19.0,721.0,635,1,6.0,1,1,250.0,
19.0,1645.0,280,2,12.0,1,2,250.0,
19.0,394.0,398,1,6.0,2,2,250.0,
19.0,2006.0,638,1,6.0,2,2,250.0,
19.0,731.0,398,1,6.0,2,2,250.0,
19.0,731.0,438,1,6.0,1,1,250.0,
19.0,731.0,112,1,6.0,1,1,250.0,
19.0,,642,1,,1,1,,
19.0,,49,1,,1,1,,
19.0,,391,1,,1,1,,
19.0,,638,1,,2,2,,
19.0,,646,1,,1,1,,
197.0,,349,10,,4,26,,
197.0,,648,1,,1,1,,
197.0,,649,14,,2,17,,
197.0,,650,1,,3,4,,
197.0,,651,18,,4,43,,
197.0,,652,1,,2,40,,
197.0,,653,2,,3,12,,
197.0,,142,24,,4,62,,
197.0,,655,1,,3,7,,
197.0,,49,1,,4,36,,
197.0,,536,1,,3,17,,
197.0,,658,16,,3,30,,
197.0,,659,1,,2,9,,
197.0,,21,6,,4,37,,
197.0,,661,2,,2,7,,
197.0,,662,15,,4,48,,
197.0,,369,1,,4,7,,
197.0,,664,1,,3,10,,
197.0,,665,2,,3,6,,
197.0,,666,4,,3,19,,
197.0,,374,2,,4,27,,
197.0,,668,12,,2,18,,
197.0,,669,1,,3,19,,
197.0,,269,1,,4,48,,
197.0,,78,1,,3,20,,
197.0,,79,2,,3,12,,
197.0,,156,1,,4,14,,
197.0,,126,9,,4,40,,
197.0,,675,20,,4,68,,
197.0,,676,1,,3,4,,
197.0,,273,1,,2,2,,
197.0,,678,1,,3,6,,
197.0,,679,4,,4,55,,
197.0,,680,1,,3,66,,
197.0,,545,1,,3,51,,
197.0,,682,11,,3,28,,
197.0,,391,5,,4,22,,
197.0,,684,1,,3,5,,
197.0,,83,12,,4,55,,
197.0,,393,14,,4,53,,
197.0,,687,1,,2,2,,
197.0,,397,2,,4,18,,
197.0,,7,8,,3,19,,
197.0,,690,1,,3,4,,
197.0,,691,1,,4,10,,
197.0,,406,1,,4,28,,
197.0,,89,1,,3,5,,
197.0,,409,1,,4,16,,
197.0,,140,1,,4,28,,
197.0,,412,13,,4,28,,
